Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
14;33;Del Giro;10853224-6;AGENCIA DE ADUANA CARLOS ARREDONDO;57313;30/01/2026;02/02/2026 3:00;;0;159232;30254;;;189486;;;;;0;;;;0;;;
15;33;Del Giro;76433310-1;Cencosud_Shopping_S.A.;161708;02/02/2026;02/02/2026 10:43;;975844;3610805;686053;;;5272702;;;;;0;;;;0;;;
16;33;Del Giro;90635000-9;Telefonica Chile S.A;54155066;01/02/2026;02/02/2026 11:46;;0;4520;859;;;5379;;;;;0;;;;0;;;
17;33;Del Giro;9889572-8;PATRICIA SOLEDAD CUEVAS JARA;2024;02/02/2026;02/02/2026 12:14;;0;8615;1637;;;10252;;;;;0;;;;0;;;
18;33;Del Giro;77143385-5;FINTOC SPA;16875;02/02/2026;02/02/2026 12:21;;0;7135;1356;;;8491;;;;;0;;;;0;;;
19;33;Del Giro;78408990-8;ADM_C.C._CENCOSUD_SPA.;783773;02/02/2026;02/02/2026 12:54;;0;436710;82975;;;519685;;;;;0;;;;0;;;
20;33;Del Giro;78408990-8;ADM_C.C._CENCOSUD_SPA.;784868;02/02/2026;02/02/2026 14:38;;0;990935;188278;;;1179213;;;;;0;;;;0;;;
21;33;Del Giro;76203299-6;Comercializadora_Costanera_Center_SPA;69938;02/02/2026;02/02/2026 15:55;;0;10404823;1976916;;;12381739;;;;;0;;;;0;;;
22;33;Del Giro;78124998-K;ME CONECTO SPA;42;31/01/2026;02/02/2026 16:04;;0;500000;95000;;;595000;;;;;0;;;;0;;;
23;33;Del Giro;77176344-8;DESPACHALO  SPA;6668;02/02/2026;02/02/2026 18:29;;0;216000;41040;;;257040;;;;;0;;;;0;;;
24;33;Del Giro;96689310-9;Transbank S.A;57187637;29/01/2026;02/02/2026 18:42;;0;855191;162486;;;1017677;;;;;0;;;;0;;;
25;33;Del Giro;76564239-6;Migratoria Servicios Informáticos Limitada;7328;03/02/2026;03/02/2026 4:00;;0;170540;32403;;;202943;;;;;0;;;;0;;;
26;33;Del Giro;96798520-1;Hanseatic Global Terminals ChileExtraportuarios S.A.;1609084;03/02/2026;03/02/2026 14:45;;0;85115;16172;;;101287;;;;;0;;;;0;;;
27;33;Del Giro;83382700-6;Comercial Eccsa S.A.;2312333;03/02/2026;03/02/2026 18:27;;0;28692;5451;;;34143;;;;;0;;;;0;;;
28;33;Del Giro;76959133-8;COMERCIAL ANGIE SPA;115726;04/02/2026;04/02/2026 12:07;;0;5415;1029;;;6444;;;;;0;;;;0;;;
29;33;Del Giro;78042986-0;HELLO CONTENT SPA;94;05/02/2026;05/02/2026 9:25;;0;245000;46550;;;291550;;;;;0;;;;0;;;
30;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;12115298;05/02/2026;05/02/2026 20:37;;0;16714;3176;;;19890;;;;;0;;;;0;;;
31;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;12115311;05/02/2026;05/02/2026 20:37;;0;16714;3176;;;19890;;;;;0;;;;0;;;
32;33;Del Giro;97036000-K;Santander - Chile;54671000;05/02/2026;05/02/2026 21:32;;0;104626;19879;;;124505;;;;;0;;;;0;;;
33;33;Del Giro;97036000-K;Santander - Chile;54671004;05/02/2026;05/02/2026 21:32;;0;246275;46792;;;293067;;;;;0;;;;0;;;
34;33;Del Giro;78042986-0;HELLO CONTENT SPA;95;06/02/2026;06/02/2026 12:48;;0;245000;46550;;;291550;;;;;0;;;;0;;;
35;33;Del Giro;83382700-6;Comercial Eccsa S.A.;2308360;05/02/2026;09/02/2026 13:12;;0;59618;11327;;;70945;;;;;0;;;;0;;;
36;33;Del Giro;83382700-6;Comercial Eccsa S.A.;2308361;05/02/2026;09/02/2026 13:15;;0;8891;1689;;;10580;;;;;0;;;;0;;;
37;33;Del Giro;77776384-9;CETRIK SPA;423;10/02/2026;10/02/2026 11:10;;0;247673;47058;;;294731;;;;;0;;;;0;;;
38;33;Del Giro;83382700-6;Comercial Eccsa S.A.;2313303;11/02/2026;11/02/2026 12:10;;0;11305;2148;;;13453;;;;;0;;;;0;;;
39;34;Del Giro;77716312-4;RSM CHILE ACCOUNTING TAX AND CONSULTING SERVICES LIMITADA;6316;01/02/2026;02/02/2026 14:07;;3096875;0;0;;;3096875;;;;;0;;;;0;;;
40;34;Del Giro;97004000-5;Banco de Chile;28325830;02/02/2026;03/02/2026 10:28;;6948113;0;0;;;6948113;;;;;0;;;;0;;;
41;43;Del Giro;77398220-1;MercadoLibre Chile LTDA;897330;25/01/2026;26/01/2026 1:16;;0;0;0;;;0;;;;;0;;;;0;;;
42;43;Del Giro;77398220-1;MercadoLibre Chile LTDA;902378;31/01/2026;01/02/2026 1:13;;0;0;0;;;0;;;;;0;;;;0;;;
43;56;Del Giro;10853224-6;AGENCIA DE ADUANA CARLOS ARREDONDO;18982;05/02/2026;05/02/2026 18:57;;0;535000;101650;;;636650;;;;;0;;;;0;;;
44;56;Del Giro;10853224-6;AGENCIA DE ADUANA CARLOS ARREDONDO;18983;05/02/2026;05/02/2026 19:31;;0;5;1;;;6;;;;;0;;;;0;;;
45;61;Del Giro;76110436-5;Jach Technology SpA;2370;30/01/2026;30/01/2026 10:59;;0;651853;123852;;;775705;;;;;0;;;;0;;;
46;61;Del Giro;76110436-5;Jach Technology SpA;2379;06/02/2026;06/02/2026 18:02;;0;588258;111769;;;700027;;;;;0;;;;0;;;
